Sub Division,Region,Market,Store Nbr,ACC POS$ Apr,ACC POS$ YTD,Car Count  Apr,Car Count YTD,  VIT   Apr,VIT YTD,Tire Bay Time   Apr,Tire Bay Time YTD,Oil Bay Time   Apr,Oil Bay Time YTD,Appt. Success Rate   Apr,Appt. Success Rate YTD,Other Services   Apr,Other Services YTD,Tire Units   Apr,Tire Units YTD,Oil Units   Apr,Oil Units YTD,Overall Ranking   Apr,Overall Ranking YTD
SOUTHEAST BU,"42 - AR, MO, LA",323,1,5.2%,-0.5%,12.0%,5.6%,0:31:20,0:30:31,0:45:12,0:43:29,0:26:54,0:26:57,44.6%,50.8%,-3.6%,-19.0%,6.3%,3.0%,4.7%,-0.9%,"1,397","1,712"
SOUTHEAST BU,"42 - AR, MO, LA",322,2,16.7%,6.2%,23.3%,11.0%,0:20:58,0:18:51,0:38:24,0:40:54,0:33:17,0:33:21,90.5%,93.0%,-58.1%,-47.4%,4.7%,1.5%,21.9%,5.6%,523,910
SOUTHEAST BU,02 - Atlanta GA,21,3,3.6%,-2.4%,-6.8%,-5.2%,0:37:53,0:34:16,0:32:23,0:30:55,0:23:03,0:21:44,48.9%,52.7%,-68.0%,-64.6%,8.5%,-3.0%,-8.6%,-6.9%,"1,977","1,987"
SOUTHEAST BU,"42 - AR, MO, LA",323,4,18.1%,7.3%,25.8%,6.3%,0:35:14,0:36:37,0:35:46,0:35:03,0:30:51,0:30:57,68.1%,59.7%,8.5%,30.7%,35.6%,13.4%,17.0%,7.7%,897,"1,620"
SOUTHEAST BU,"42 - AR, MO, LA",326,5,5.7%,-0.6%,10.2%,1.2%,0:16:06,0:17:09,0:22:12,0:23:24,0:23:38,0:23:08,68.1%,72.0%,-35.2%,1.1%,-0.3%,-3.0%,20.1%,7.8%,511,730
SOUTHEAST BU,"42 - AR, MO, LA",326,7,12.8%,9.2%,24.4%,17.2%,0:17:02,0:18:02,0:27:31,0:29:16,0:24:54,0:24:49,65.8%,65.2%,56.1%,44.8%,5.4%,1.9%,11.0%,16.2%,303,211
SOUTHEAST BU,"42 - AR, MO, LA",326,8,13.4%,1.8%,5.3%,-1.9%,0:10:03,0:10:00,0:17:54,0:18:58,0:17:19,0:16:39,83.8%,75.8%,-26.6%,-10.1%,20.4%,4.9%,1.2%,-0.5%,354,967
NORTH BU,40 - Missouri,335,9,3.8%,10.3%,1.5%,8.3%,0:26:27,0:31:06,0:25:56,0:25:45,0:20:56,0:20:44,54.9%,56.1%,158.4%,56.6%,13.0%,11.9%,-2.1%,8.1%,"1,774","1,184"
SOUTHWEST BU,"44 - Oklahoma, N TX",347,10,4.1%,-0.8%,4.7%,0.3%,0:12:06,0:13:41,0:20:15,0:20:57,0:13:35,0:14:05,76.8%,72.5%,0.8%,-5.3%,6.6%,-5.1%,14.3%,6.9%,496,899
SOUTHEAST BU,"42 - AR, MO, LA",328,11,4.8%,2.8%,4.0%,2.7%,0:14:59,0:16:21,0:21:04,0:20:29,0:19:22,0:20:19,82.7%,81.2%,-36.3%,-22.0%,7.8%,-2.9%,8.2%,7.7%,294,362
