Store,Offsite Storage Pickup Date,Service  Hours,Storage Vendor,Box  Count
1,4/5/2022,7 am - 6 pm,Vital Records Control (VRC),210
2,9/28/2021,7 am - 6 pm,Vital Records Control (VRC),27
3,3/10/2022,7 am - 6 pm,Vital Records Control (VRC),65
4,9/3/2021,7 am - 6 pm,Vital Records Control (VRC),60
5,4/13/2022,7 am - 6 pm,Vital Records Control (VRC),100
7,4/5/2022,7 am - 6 pm,Vital Records Control (VRC),156
8,3/30/2022,7 am - 6 pm,Vital Records Control (VRC),83
9,4/18/2022,7 am - 6 pm,Vital Records Control (VRC),92
10,6/1/2022,7 am - 6 pm,Vital Records Control (VRC),94
11,4/4/2022,7 am - 6 pm,Vital Records Control (VRC),178
12,6/1/2022,7 am - 6 pm,Vital Records Control (VRC),213
13,4/22/2022,7 am - 6 pm,Vital Records Control (VRC),131
14,4/29/2022,7 am - 6 pm,Vital Records Control (VRC),134
15,8/9/2021,7 am - 6 pm,Vital Records Control (VRC),80
16,3/30/2022,7 am - 6 pm,Vital Records Control (VRC),103
17,4/13/2022,7 am - 6 pm,Vital Records Control (VRC),131
18,4/12/2022,7 am - 6 pm,Vital Records Control (VRC),121
19,4/18/2022,7 am - 6 pm,Vital Records Control (VRC),153
20,TBD,TBD,TBD,TBD
21,4/19/2022,7 am - 6 pm,Vital Records Control (VRC),75
22,6/13/2022,7 am - 6 pm,Vital Records Control (VRC),183
23,TBD,TBD,TBD,TBD
24,TBD,TBD,TBD,TBD
25,5/5/2022,7 am - 6 pm,Vital Records Control (VRC),151
26,5/24/2022,7 am - 6 pm,Vital Records Control (VRC),89
27,4/11/2022,7 am - 6 pm,Vital Records Control (VRC),66
28,5/4/2022,7 am - 6 pm,Vital Records Control (VRC),32
29,4/26/2022,7 am - 6 pm,Vital Records Control (VRC),221
30,4/18/2022,7 am - 6 pm,Vital Records Control (VRC),99
31,5/18/2022,7 am - 6 pm,Vital Records Control (VRC),65
32,TBD,TBD,TBD,TBD
33,4/1/2022,7 am - 6 pm,Vital Records Control (VRC),74
34,4/20/2022,7 am - 6 pm,Vital Records Control (VRC),75
35,TBD,TBD,TBD,TBD
36,3/31/2022,7 am - 6 pm,Vital Records Control (VRC),203
37,4/29/2022,7 am - 6 pm,Vital Records Control (VRC),97
38,5/13/2022,7 am - 6 pm,Vital Records Control (VRC),83
39,5/13/2022,7 am - 6 pm,Vital Records Control (VRC),123
40,8/9/2021,7 am - 6 pm,Vital Records Control (VRC),153
41,TBD,TBD,TBD,TBD
42,6/2/2022,7 am - 6 pm,Vital Records Control (VRC),52
43,5/23/2022,7 am - 6 pm,Vital Records Control (VRC),177
44,No Service Required per Store,7 am - 6 pm,Vital Records Control (VRC),0
45,3/29/2022,7 am - 6 pm,Vital Records Control (VRC),100
46,4/27/2022,7 am - 6 pm,Vital Records Control (VRC),55
47,5/9/2022,7 am - 6 pm,Vital Records Control (VRC),151
48,7/6/2021,7 am - 6 pm,Vital Records Control (VRC),48
49,4/22/2022,7 am - 6 pm,Vital Records Control (VRC),63
50,6/13/2022,7 am - 6 pm,Vital Records Control (VRC),157
51,4/28/2022,7 am - 6 pm,Vital Records Control (VRC),39
52,TBD,TBD,TBD,TBD
54,3/29/2022,7 am - 6 pm,Vital Records Control (VRC),275
55,4/1/2022,7 am - 6 pm,Vital Records Control (VRC),17
56,9/7/2021,7 am - 6 pm,Vital Records Control (VRC),68
57,3/24/2022,7 am - 6 pm,Vital Records Control (VRC),52
58,3/30/2022,7 am - 6 pm,Vital Records Control (VRC),95
59,4/19/2022,7 am - 6 pm,Vital Records Control (VRC),130
60,5/9/2022,7 am - 6 pm,Vital Records Control (VRC),93
61,4/15/2022,7 am - 6 pm,Vital Records Control (VRC),111
62,4/25/2022,7 am - 6 pm,Vital Records Control (VRC),93
63,6/21/2022,7 am - 6 pm,Vital Records Control (VRC),70
64,5/19/2022,7 am - 6 pm,Vital Records Control (VRC),72
65,8/20/2021,7 am - 6 pm,Vital Records Control (VRC),146
66,4/1/2022,7 am - 6 pm,Vital Records Control (VRC),135
67,4/1/2022,7 am - 6 pm,Vital Records Control (VRC),90
68,6/14/2021,7 am - 6 pm,Vital Records Control (VRC),72
69,5/6/2022,7 am - 6 pm,Vital Records Control (VRC),112
70,4/25/2022,7 am - 6 pm,Vital Records Control (VRC),130
71,3/29/2022,7 am - 6 pm,Vital Records Control (VRC),150
72,9/15/2021,7 am - 6 pm,Vital Records Control (VRC),121
73,7/14/2022,7 am - 6 pm,Vital Records Control (VRC),67
74,4/25/2022,7 am - 6 pm,Vital Records Control (VRC),29
75,TBD,TBD,TBD,TBD
76,4/4/2022,7 am - 6 pm,Vital Records Control (VRC),100
77,5/27/2021,7 am - 5 pm,Iron Mountain ,56
78,8/27/2021,7 am - 6 pm,Vital Records Control (VRC),137
79,4/19/2022,7 am - 6 pm,Vital Records Control (VRC),71
80,5/4/2022,7 am - 6 pm,Vital Records Control (VRC),120
81,TBD,TBD,TBD,TBD
82,TBD,TBD,TBD,TBD
83,4/1/2022,7 am - 6 pm,Vital Records Control (VRC),43
85,4/18/2022,7 am - 6 pm,Vital Records Control (VRC),78
86,4/20/2022,7 am - 6 pm,Vital Records Control (VRC),100
87,2/28/2022,7 am - 6 pm,Vital Records Control (VRC),149
88,9/7/2021,7 am - 6 pm,Vital Records Control (VRC),106
89,5/20/2021,7 am - 6 pm,Vital Records Control (VRC),131
90,4/25/2022,7 am - 6 pm,Vital Records Control (VRC),41
91,3/29/2022,7 am - 6 pm,Vital Records Control (VRC),66
92,4/22/2022,7 am - 6 pm,Vital Records Control (VRC),100
93,5/27/2021,7 am - 6 pm,Vital Records Control (VRC),193
94,5/20/2021,7 am - 6 pm,Vital Records Control (VRC),28
95,4/29/2022,7 am - 6 pm,Vital Records Control (VRC),164
96,4/11/2022,7 am - 6 pm,Vital Records Control (VRC),122
97,3/28/2022,7 am - 6 pm,Vital Records Control (VRC),47
98,2/28/2022,7 am - 6 pm,Vital Records Control (VRC),174
99,4/25/2022,7 am - 6 pm,Vital Records Control (VRC),99
100,TBD,TBD,TBD,TBD
101,4/11/2022,7 am - 6 pm,Vital Records Control (VRC),95
102,TBD,TBD,TBD,TBD
103,4/18/2022,7 am - 6 pm,Vital Records Control (VRC),71
104,3/30/2022,7 am - 6 pm,Vital Records Control (VRC),62
105,3/7/2022,7 am - 6 pm,Vital Records Control (VRC),93
106,4/11/2022,7 am - 6 pm,Vital Records Control (VRC),63
107,TBD,TBD,TBD,TBD
108,6/29/2022,7 am - 6 pm,Vital Records Control (VRC),146
109,4/13/2022,7 am - 6 pm,Vital Records Control (VRC),100
110,TBD,TBD,TBD,TBD
111,5/11/2022,7 am - 6 pm,Vital Records Control (VRC),75
112,10/13/2021,7 am - 6 pm,Vital Records Control (VRC),142
113,4/26/2022,7 am - 6 pm,Vital Records Control (VRC),94
114,3/3/2022,7 am - 6 pm,Vital Records Control (VRC),68
115,2/7/2022,7 am - 6 pm,Vital Records Control (VRC),137
116,2/28/2022,7 am - 6 pm,Vital Records Control (VRC),33
117,5/13/2022,7 am - 6 pm,Vital Records Control (VRC),37
118,3/25/2022,7 am - 6 pm,Vital Records Control (VRC),109
119,4/15/2022,7 am - 6 pm,Vital Records Control (VRC),87
120,3/30/2022,7 am - 6 pm,Vital Records Control (VRC),44
121,4/22/2022,7 am - 6 pm,Vital Records Control (VRC),86
122,4/27/2022,7 am - 6 pm,Vital Records Control (VRC),72
123,5/18/2022,7 am - 6 pm,Vital Records Control (VRC),53
124,4/5/2022,7 am - 6 pm,Vital Records Control (VRC),100
125,4/7/2022,7 am - 6 pm,Vital Records Control (VRC),252
126,TBD,TBD,TBD,TBD
127,9/7/2021,7 am - 6 pm,Vital Records Control (VRC),96
128,3/29/2022,7 am - 6 pm,Vital Records Control (VRC),77
129,7/29/2021,7 am - 6 pm,Vital Records Control (VRC),157
130,TBD,TBD,TBD,TBD
131,TBD,TBD,TBD,TBD
132,TBD,TBD,TBD,TBD
133,3/25/2022,7 am - 6 pm,Vital Records Control (VRC),36
134,5/25/2022,7 am - 6 pm,Vital Records Control (VRC),84
135,No Service Required per Store,7 am - 6 pm,Vital Records Control (VRC),0
136,5/31/2022,7 am - 6 pm,Vital Records Control (VRC),48
137,5/31/2022,7 am - 6 pm,Vital Records Control (VRC),151
138,5/3/2022,7 am - 6 pm,Vital Records Control (VRC),187
139,4/26/2022,7 am - 6 pm,Vital Records Control (VRC),73
140,TBD,TBD,TBD,TBD
141,TBD,TBD,TBD,TBD
143,7/14/2021,7 am - 6 pm,Vital Records Control (VRC),25
144,4/8/2022,7 am - 6 pm,Vital Records Control (VRC),146
145,4/29/2022,7 am - 6 pm,Vital Records Control (VRC),63
146,TBD,TBD,TBD,TBD
147,5/5/2022,7 am - 6 pm,Vital Records Control (VRC),137
148,9/7/2021,7 am - 6 pm,Vital Records Control (VRC),157
149,2/24/2022,7 am - 6 pm,Vital Records Control (VRC),88
150,5/5/2022,7 am - 6 pm,Vital Records Control (VRC),97
151,5/6/2022,7 am - 6 pm,Vital Records Control (VRC),80
152,4/22/2022,7 am - 6 pm,Vital Records Control (VRC),98
153,2/28/2022,7 am - 6 pm,Vital Records Control (VRC),78
154,TBD,TBD,TBD,TBD
155,3/10/2022,7 am - 6 pm,Vital Records Control (VRC),132
157,4/4/2022,7 am - 6 pm,Vital Records Control (VRC),85
158,5/5/2022,7 am - 6 pm,Vital Records Control (VRC),25
159,4/28/2022,7 am - 6 pm,Vital Records Control (VRC),100
160,4/4/2022,7 am - 6 pm,Vital Records Control (VRC),53
161,3/28/2022,7 am - 6 pm,Vital Records Control (VRC),49
162,5/17/2022,7 am - 6 pm,Vital Records Control (VRC),49
163,TBD,TBD,TBD,TBD
164,No Service Required ,7 am - 6 pm,Vital Records Control (VRC),0
165,3/18/2022,7 am - 6 pm,Vital Records Control (VRC),100
166,4/19/2022,7 am - 6 pm,Vital Records Control (VRC),45
167,4/6/2022,7 am - 6 pm,Vital Records Control (VRC),33
168,6/2/2022,7 am - 6 pm,Vital Records Control (VRC),167
169,3/31/2022,7 am - 6 pm,Vital Records Control (VRC),68
170,6/29/2021,7 am - 6 pm,Vital Records Control (VRC),164
171,TBD,TBD,TBD,TBD
172,TBD,TBD,TBD,TBD
173,4/22/2022,7 am - 6 pm,Vital Records Control (VRC),67
174,TBD,TBD,TBD,TBD
175,TBD,TBD,TBD,TBD
176,2/24/2022,7 am - 6 pm,Vital Records Control (VRC),49
177,No Service Required per Store,7 am - 6 pm,Vital Records Control (VRC),0
178,TBD,TBD,TBD,TBD
179,5/3/2022,7 am - 6 pm,Vital Records Control (VRC),73
180,5/6/2022,7 am - 6 pm,Vital Records Control (VRC),131
181,3/18/2022,7 am - 6 pm,Vital Records Control (VRC),55
182,3/15/2022,7 am - 6 pm,Vital Records Control (VRC),136
183,TBD,TBD,TBD,TBD
184,4/8/2022,7 am - 6 pm,Vital Records Control (VRC),99
185,TBD,TBD,TBD,TBD
186,6/15/2022,7 am - 6 pm,Vital Records Control (VRC),56
188,4/27/2022,7 am - 6 pm,Vital Records Control (VRC),63
189,TBD,TBD,TBD,TBD
190,4/29/2022,7 am - 6 pm,Vital Records Control (VRC),182
192,6/14/2021,7 am - 6 pm,Vital Records Control (VRC),163
194,7/12/2021,7 am - 6 pm,Vital Records Control (VRC),32
195,4/29/2022,7 am - 6 pm,Vital Records Control (VRC),196
196,TBD,TBD,TBD,TBD
197,TBD,TBD,TBD,TBD
198,10/5/2021,7 am - 6 pm,Vital Records Control (VRC),118
199,TBD,TBD,TBD,TBD
200,TBD,TBD,TBD,TBD
201,TBD,TBD,TBD,TBD
202,No Service Required per Store,7 am - 6 pm,Vital Records Control (VRC),0
203,TBD,TBD,TBD,TBD
204,4/26/2022,7 am - 6 pm,Vital Records Control (VRC),145
205,TBD,TBD,TBD,TBD
206,3/18/2022,7 am - 6 pm,Vital Records Control (VRC),146
207,5/9/2022,7 am - 6 pm,Vital Records Control (VRC),43
209,4/1/2022,7 am - 6 pm,Vital Records Control (VRC),40
210,TBD,TBD,TBD,TBD
211,3/17/2022,7 am - 6 pm,Vital Records Control (VRC),152
212,5/19/2022,7 am - 6 pm,Vital Records Control (VRC),190
213,TBD,TBD,TBD,TBD
214,7/30/2021,7 am - 6 pm,Vital Records Control (VRC),40
216,TBD,TBD,TBD,TBD
217,TBD,TBD,TBD,TBD
218,3/28/2022,7 am - 6 pm,Vital Records Control (VRC),99
219,4/15/2022,7 am - 6 pm,Vital Records Control (VRC),173
220,9/23/2021,7 am - 6 pm,Vital Records Control (VRC),198
221,6/30/2022,7 am - 6 pm,Vital Records Control (VRC),100
222,TBD,TBD,TBD,TBD
224,TBD,TBD,TBD,TBD
225,6/1/2022,7 am - 6 pm,Vital Records Control (VRC),76
226,3/18/2022,7 am - 6 pm,Vital Records Control (VRC),100
227,6/22/2022,7 am - 6 pm,Vital Records Control (VRC),50
228,3/14/2022,7 am - 6 pm,Vital Records Control (VRC),132
229,No Service Required per Store,7 am - 6 pm,Vital Records Control (VRC),0
230,4/1/2022,7 am - 6 pm,Vital Records Control (VRC),18
231,6/3/2022,7 am - 6 pm,Vital Records Control (VRC),217
232,5/6/2022,7 am - 6 pm,Vital Records Control (VRC),39
233,TBD,TBD,TBD,TBD
