Store Info,FY24 Assemblers ,Supplier Status ,Furniture <$150 ,Furniture $150-$350,Furniture $350-$500,Furniture >$500
1,TROC,Secondary,24.24,33.33,42.42,57.57
1,Economy Care Services,Preferred,22.98,28.01,37.5,56
1,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
2,TROC,Secondary,24.24,33.33,42.42,57.57
2,Economy Care Services,Preferred,22.98,28.01,37.5,56
2,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
3,ADVANCED RETAIL SYSTEMS LLC,Secondary,35,45,65,85
3,"Backpedal Co, LLC",Preferred,28,30,40,60
3,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
4,TROC,Secondary,24.24,33.33,42.42,57.57
4,Economy Care Services,Preferred,22.98,28.01,37.5,56
4,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
5,TROC,Secondary,24.24,33.33,42.42,57.57
5,Economy Care Services,Preferred,22.98,28.01,37.5,48
5,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
7,TROC,Secondary,24.24,33.33,42.42,57.57
7,Economy Care Services,Preferred,22.98,28.01,37.5,48
7,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
8,TROC,Secondary,24.24,33.33,42.42,57.57
8,Economy Care Services,Preferred,22.98,28.01,37.5,48
8,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
9,TROC,Secondary,24.24,33.33,42.42,57.57
9,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
10,Economy Care Services,Secondary,22.98,28.01,37.5,56
10,TROC,Secondary,24.24,33.33,42.42,57.57
10,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
11,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
11,Economy Care Services,Preferred,22.98,28.01,37.5,48
11,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
12,Economy Care Services,Secondary,22.98,28.01,37.5,56
12,TROC,Secondary,24.24,33.33,42.42,57.57
12,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
13,Economy Care Services,Secondary,22.98,28.01,37.5,48
13,TROC,Secondary,24.24,33.33,42.42,57.57
13,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
14,Economy Care Services,Secondary,22.98,28.01,37.5,48
14,TROC,Secondary,24.24,33.33,42.42,57.57
14,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
15,Economy Care Services,Secondary,22.98,28.01,37.5,48
15,TROC,Secondary,24.24,33.33,42.42,57.57
15,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
16,TROC,Secondary,24.24,33.33,42.42,57.57
16,Economy Care Services,Preferred,22.98,28.01,37.5,56
16,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
17,Economy Care Services,Secondary,22.98,28.01,37.5,48
17,TROC,Secondary,24.24,33.33,42.42,57.57
17,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
18,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
18,Economy Care Services,Preferred,22.98,28.01,37.5,48
18,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
19,TROC,Secondary,24.24,33.33,42.42,57.57
19,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
20,ALL STAR ASSEMBLY LLC,Secondary,19.5,26.5,36.5,46.99
20,TROC,Secondary,24.24,33.33,42.42,57.57
20,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
21,TROC,Preferred,24.24,33.33,42.42,57.57
21,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
22,Economy Care Services,Secondary,22.98,28.01,37.5,56
22,TROC,Secondary,24.24,33.33,42.42,57.57
22,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
23,TROC,Secondary,24.24,33.33,42.42,57.57
23,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
23,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
24,TROC,Secondary,24.24,33.33,42.42,57.57
24,Economy Care Services,Preferred,22.98,28.01,37.5,48
24,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
25,TROC,Preferred,24.24,33.33,42.42,57.57
25,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
26,ALL STAR ASSEMBLY LLC,Preferred,19.5,26.5,36.5,46.99
26,TROC,Secondary,24.24,33.33,42.42,57.57
26,"National Assemblers, Inc.",Secondary,25.52,38.59,41.56,56.4
27,Economy Care Services,Secondary,22.98,28.01,37.5,48
27,TROC,Secondary,24.24,33.33,42.42,57.57
27,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
28,Economy Care Services,Secondary,22.98,28.01,37.5,56
28,TROC,Secondary,24.24,33.33,42.42,57.57
28,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
29,TROC,Preferred,24.24,33.33,42.42,57.57
29,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
30,TROC,Secondary,24.24,33.33,42.42,57.57
30,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
31,TROC,Secondary,24.24,33.33,42.42,57.57
31,Economy Care Services,Preferred,22.98,28.01,37.5,56
31,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
32,Economy Care Services,Secondary,22.98,28.01,37.5,48
32,TROC,Secondary,24.24,33.33,42.42,57.57
32,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
33,TROC,Secondary,24.24,33.33,42.42,57.57
33,Economy Care Services,Preferred,22.98,28.01,37.5,48
33,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
