State Name,Offiste Events Allowed?,Off-Site Event Details,Private (Out of Pocket) Pay,Out of Pocket Details,State Required License?,Blood Pressure (BP),Body Mass Index (BMI) ,Blood Glucose,Hemoglobin A1C,Lipids,Notes,Pharmacist,Intern,Technician ,Notes
Alabama,Permitted,,Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",None,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,
Alaska,Permitted,,Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",None,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,
Arizona,Notification Required (30 days),"Submit notification a minimum of 30 days prior to offsite event. Notification must include: event location, date and time. Email the notification to. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",None,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,
Arkansas,Notification Required (30 days),"Submit notification a minimum of 30 days prior to offsite event. Notification must include: event location, date and time. Email the notification to. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",None,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,
California,Notification Required (30 days),"Submit notification a minimum of 30 days prior to offsite event. Notification must include: event location, date and time. Email the notification to. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",Adherence patients only,,SO Required,No,No,Yes,Yes,Yes,,Yes,Yes,No,
Colorado,Notification Required (30 days),"Submit notification a minimum of 30 days prior to offsite event. Notification must include: event location, date and time. Email the notification to. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",None,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,
Connecticut,Notification Required (30 days),"Submit notification a minimum of 30 days prior to offsite event. Notification must include: event location, date and time. Email the notification to. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",Not allowed,,SO for waived testing,No,No,Yes,Yes,Yes,,Yes,Yes,No,
Washington D.C.,Permitted,,Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",None,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,
Delaware,Permitted,,Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",None,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,
Florida,Permitted,,Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",None,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,
Georgia,Permitted,,Not allowed,,GA Screening & Monitoring Exemption Permit Required,Yes,Yes,No,No,No,,Yes,Yes,No,
Hawaii,Permitted,"Submit notification a minimum of 30 days prior to offsite event. Notification must include: event location, date and time. Email the notification to. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",HI Clinical Lab Permit Class I required,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,
Idaho,Permitted,,Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",SO for waived testing,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,
Illinois,Not permitted,,Allowed,,SO for waived testing,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,
Indiana,Permitted,,Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",None,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,
Iowa,Permitted,"Submit notification a minimum of 30 days prior to offsite event. Notification must include: event location, date and time. Email the notification to. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",None,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,
Kansas,Permitted,"Submit notification a minimum of 30 days prior to offsite event. Notification must include: event location, date and time. Email the notification to. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",None,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,
Kentucky,Permitted,,Allowed,"Screenings may be offered for a charge and individuals may elect to pay out of pocket for the service. Medicaid/Medicare recipients that choose to pay out of pocket require acknowledgement of the Agreement to Pay Non-Covered Clinical Services Form. A copy must be provided to the patient and the original is filed along with the signed health screening consent form. Walmart: To promote this service, order this Wellness Screenings Marketing kit which includes screening specific barcodes used to collect payment. Sam’s Club: Pricing Barcodes",None,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,
