Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,40,Equate 91% Isopropyl 12PC PDQs,Full Endcap,2,28,
2,2,26 Pc Jumbo Pouf PDQ,Full Endcap,1,28,
2,9,16.4OZ PROPANE 2PK,Full Endcap,1,28,
2,14,"Cirkul Flavor Cartridges, 576 units (Will also need to order the starter kit)",Half Endcap,1,28,
2,14,"Cirkul Starter Kit, 64 units (Will also need to order the flavor cartridges)",Half Endcap,1,28,
2,40,24 Piece EQ Omeprazole Feature,PDQ,1,28,
2,40,45 DS Miralax 10CT,PDQ,1,28,
2,40,Equate 91% Isopropyl 12PC PDQs,Full Endcap,1,28,
2,72,Canon MG3522 - 14,Half Stack,1,28,
2,92,"Gen Mills Mini Pallet, 258",Full Stack,1,28,
2,92,Knorr Pasta/Rice Sides Mixed Pallet,Full Stack,1,28,
2,95,Capri Sun,Full Stack,1,28,
2,95,Little Hugs 40ct,Full Stack,1,28,
2,95,Sunny D Tangy 18ct,Full Stack,1,28,
2,95,UTZ Potato Chips - Family Size,Full Stack,1,28,
3,2,26 Pc Jumbo Pouf PDQ,Full Endcap,1,28,
3,9,"Ozark Trail 28qt Bio Foam Cooler, 20PC Shipper",PDQ,1,28,
3,14,60PC Black and Gray BlenderBottle Pro24,Half Endcap,1,28,
3,14,"Cirkul Flavor Cartridges, 576 units (Will also need to order the starter kit)",Half Endcap,1,28,
3,14,"Cirkul Starter Kit, 64 units (Will also need to order the flavor cartridges)",Half Endcap,1,28,
3,14,PW BLACK 14PC SET,Full Endcap,1,28,
3,14,PW Teal 14PC SET,Full Endcap,1,28,
3,40,Equate 91% Isopropyl 12PC PDQs,Full Endcap,1,28,
3,71,"Bluetooth Gaming Chair, 6",Full Endcap,1,28,
3,95,Capri Sun,Full Stack,1,28,
3,95,Little Hugs 40ct,Full Stack,1,28,
5,9,16.4OZ PROPANE 2PK,Full Endcap,1,28,
5,14,MS SS COFFEEMAKER,Full Endcap,1,28,
5,79,GB 2FD WIC QRT PLT,4-way,1,28,
5,82,Energizer 580PC,Half Stack,1,28,
9,2,26 Pc Jumbo Pouf PDQ,Full Endcap,1,28,
9,9,"Ozark Trail 28qt Bio Foam Cooler, 20PC Shipper",PDQ,1,28,
9,14,"Cirkul Flavor Cartridges, 576 units (Will also need to order the starter kit)",Half Endcap,1,28,
9,14,"Cirkul Starter Kit, 64 units (Will also need to order the flavor cartridges)",Half Endcap,1,28,
9,40,Equate 91% Isopropyl 12PC PDQs,Full Endcap,1,28,
9,71,Big Joe Bean Bag Assortment,Full Stack,1,28,
9,82,Duracel 552PC MIXED,Half Stack,1,28,
9,82,Energizer 580PC,Half Stack,1,28,
9,92,30oz Miracle Whip Half Pallet 160 units,Half Stack,1,28,
9,92,"Gen Mills Mini Pallet, 258",Full Stack,1,28,
9,92,Knorr Pasta/Rice Sides Mixed Pallet,Full Stack,1,28,
9,95,Chwy Mega Vty 1/2 Pl 117 units,Half Stack,1,28,
10,40,10 Piece ClearLax/ Orange lax,PDQ,1,28,
10,40,24 Piece EQ Omeprazole Feature,PDQ,1,28,Canceled due to duplicate orders with MM/BU leads merchandise requests at YBM.
10,40,Equate 91% Isopropyl 12PC PDQs,Full Endcap,1,28,
10,95,Capri Sun,Full Stack,1,28,
10,95,Little Hugs 40ct,Full Stack,1,28,
11,7,Disney 100th Celebration MRTP Train Set,Full Endcap,1,28,Delivery delay from wk28 to 30 due to supplier issues
11,9,"Ozark Trail 30QT Hard Cooler, 12pc Endcap",Full Endcap,2,28,
11,13,3PK 1/2 Pallet Display,Half Stack,1,28,
11,14,MS ICED COFF MKR,Full Endcap,1,28,
11,40,10 Piece ClearLax/ Orange lax,PDQ,1,28,
11,40,10PC ALLEGRA KIDS,PDQ,2,28,
11,40,24 Piece EQ Omeprazole Feature,PDQ,2,28,
11,40,Equate 91% Isopropyl 12PC PDQs,Full Endcap,3,28,
11,71,MS ERGONOMIC OFF CHR,Full Endcap,2,28,
11,74,7.1cf Two Door Refrigerator,Full Stack,1,28,
11,74,Frigidaire 7.5 Cu. Ft. Top Freezer Refrigerator in,Full Stack,1,28,
11,80,TOT NASHVILLE HOT,Bunker,1,28,
11,82,Energizer 580PC,Half Stack,1,28,
12,9,"Ozark Trail 30QT Hard Cooler, 12pc Endcap",Full Endcap,1,28,
12,14,"Cirkul Starter Kit, 64 units (Will also need to order the flavor cartridges)",Half Endcap,2,28,
12,40,10 Piece ClearLax/ Orange lax,PDQ,1,28,
12,40,24 Piece EQ Omeprazole Feature,PDQ,2,28,Canceled due to duplicate orders with MM/BU leads merchandise requests at YBM.
12,40,ALEVE X PW 18PC,SK,1,28,
12,40,Equate 91% Isopropyl 12PC PDQs,Full Endcap,1,28,
12,74,Frigidaire 7.5 Cu. Ft. Top Freezer Refrigerator in,Full Stack,1,28,
12,82,Cheetos Ghost Pepper Puffs 300 pc HP,Half Stack,1,28,
12,92,138PC MOM BAG CEREAL,Full Stack,2,28,
13,40,Equate 91% Isopropyl 12PC PDQs,Full Endcap,2,28,
13,92,Knorr Pasta/Rice Sides Mixed Pallet,Full Stack,1,28,
13,95,Little Hugs 40ct,Full Stack,1,28,
14,14,"Cirkul Flavor Cartridges, 576 units (Will also need to order the starter kit)",Half Endcap,1,28,
14,14,"Cirkul Starter Kit, 64 units (Will also need to order the flavor cartridges)",Half Endcap,1,28,
14,14,MS SS COFFEEMAKER,Full Endcap,1,28,
14,40,Equate 91% Isopropyl 12PC PDQs,Full Endcap,1,28,
14,74,Frigidaire 7.5 Cu. Ft. Top Freezer Refrigerator in,Full Stack,1,28,
14,74,MS 18PK HNGR CARGRN,Full Endcap,1,28,
14,74,MS 18PK HNGR REDSED,Full Endcap,1,28,
14,74,MS 18PK HNGR SCBDYW,Full Endcap,1,28,
14,74,MS 18PK HNGR VICBLU,Full Endcap,1,28,
14,92,30oz Miracle Whip Half Pallet 160 units,Half Stack,1,28,
14,92,"Gen Mills Mini Pallet, 258",Full Stack,1,28,
14,95,Capri Sun,Full Stack,1,28,
