Store #,WSP,WSP Contact Info,Launch Month
99,Premium Retail Services,wspaccountteam@premiumretailservices.com,JULY
1838,Premium Retail Services,wspaccountteam@premiumretailservices.com,JULY
2996,Premium Retail Services,wspaccountteam@premiumretailservices.com,JULY
4286,OSL Retail Services,info@oslrs.com,JULY
938,TROC,info@oslrs.com,AUGUST
2509,OSL Retail Services,info@oslrs.com,AUGUST
2828,OSL Retail Services,info@oslrs.com,AUGUST
3004,OSL Retail Services,info@oslrs.com,AUGUST
4049,OSL Retail Services,info@oslrs.com,AUGUST
4163,Premium Retail Services,wspaccountteam@premiumretail.com,AUGUST
5235,Premium Retail Services,wspaccountteam@premiumretail.com,AUGUST
5486,OSL Retail Services,info@oslrs.com,AUGUST
5810,Premium Retail Services,wspaccountteam@premiumretail.com,AUGUST
276,Premium Retail Services,wspaccountteam@premiumretail.com,SEPTEMBER
580,TROC,ContactTROC@trocglobal.com,SEPTEMBER
2086,Premium Retail Services,wspaccountteam@premiumretail.com,SEPTEMBER
2640,OSL Retail Services,info@oslrs.com,SEPTEMBER
2667,Premium Retail Services,wspaccountteam@premiumretail.com,SEPTEMBER
2817,OSL Retail Services,info@oslrs.com,SEPTEMBER
3379,Premium Retail Services,wspaccountteam@premiumretail.com,SEPTEMBER
4132,Premium Retail Services,wspaccountteam@premiumretail.com,SEPTEMBER
4687,OSL Retail Services,info@oslrs.com,SEPTEMBER
4687,OSL,wspaccountteam@premiumretail.com,OCTOBER
5104,OSL,info@oslrs.com,OCTOBER
5810,PRS,info@oslrs.com,OCTOBER
2086,PRS,wspaccountteam@premiumretail.com,OCTOBER
5764,PRS,info@oslrs.com,OCTOBER
580,TROC,info@oslrs.com,OCTOBER
4049,OSL,wspaccountteam@premiumretail.com,OCTOBER
5486,OSL,info@oslrs.com,OCTOBER
835,PRS,wspaccountteam@premiumretail.com,OCTOBER
1178,PRS,info@oslrs.com,OCTOBER
1560,PRS,info@oslrs.com,OCTOBER
2313,OSL,wspaccountteam@premiumretail.com,OCTOBER
3225,PRS,info@oslrs.com,OCTOBER
3274,PRS,wspaccountteam@premiumretail.com,OCTOBER
3400,OSL,wspaccountteam@premiumretail.com,OCTOBER
3641,OSL,ContactTROC@trocglobal.com,OCTOBER
3731,PRS,wspaccountteam@premiumretail.com,OCTOBER
4164,PRS,wspaccountteam@premiumretail.com,OCTOBER
5359,PRS,wspaccountteam@premiumretail.com,OCTOBER
5463,OSL,info@oslrs.com,OCTOBER
5480,PRS,wspaccountteam@premiumretail.com,OCTOBER
1668,OSL,info@oslrs.com,OCTOBER
421,PRS,wspaccountteam@premiumretail.com,NOVEMBER
863,TROC,ContactTROC@trocglobal.com,NOVEMBER
2926,PRS,wspaccountteam@premiumretail.com,NOVEMBER
3197,TROC,wspaccountteam@premiumretail.com,NOVEMBER
3499,OSL,info@oslrs.com,NOVEMBER
3893,OSL,info@oslrs.com,NOVEMBER
4472,TROC,ContactTROC@trocglobal.com,NOVEMBER
4531,OSL,info@oslrs.com,NOVEMBER
5352,OSL,info@oslrs.com,NOVEMBER
5438,OSL,info@oslrs.com,NOVEMBER
5707,PRS,wspaccountteam@premiumretail.com,NOVEMBER
