Dept Nbr,Mod Cat,Display Desc,Long Description,UPC,Item Nbr,How to Order,GNFR Nbr,ETA
14,30,FW CADDY DISPLAY,D14 DISPLAY FARBERWARE SPIN N STORE,4590812271,572589049,GNFR,100637299,
14,30,FW SS DISPLAY,D14 DISPLAY FARBERWARE STAINLESS STEEL,4590812263,572589048,GNFR,100637303,
14,30,FW KA DISPLAY,D14 DISPLAY FARBERWARE KNIFE ARMOR,4590812259,572589051,GNFR,100637305,
14,30,CC AVONDALE DISPLAY,D14 DISPLAY CHICAGO CUTLERY AVONDALE,2797902410,572696939,Early Spring 2024 Delete,Early Spring 2024 Delete,
14,30,CC WALNUT DISPLAY,D14 DISPLAY CHICAGO CUTLERY WALNUT,2797902384,572696938,Early Spring 2024 Delete,Early Spring 2024 Delete,
14,30,KA BLOCK SET DISPLAY,D14 DISPLAY KITCHENAID GOURMET TR,4590813610,586683405,GNFR,100667573,
14,30,FW TR DISPLAY,D14 DISPLAY FW TR KNIFE BLOCK DISPLAY,4590814035,598514870,GNFR,100683486,
14,30,FW TREC DISPLAY,D14 DISPLAY FW 15PC TREC LOCK BLOCK DSP,4590814036,598514874,GNFR,100683487,
14,30,FW WHT FRGD DISPLAY,D14 DISPLAY FW WHT FRGD DISPLAY,4590814037,598571851,GNFR,100683488,
14,30,TT GOLD DISPLAY,D14 DISPLAY TT GOLD SET,19655700979,599652284,GNFR,100683381,
14,30,TT SLIM BLK DISPLAY,D14 DISPLAY TT SLIM BLK SET,84897428063,578353940,GNFR,100656831,
14,30,NINJA ND DISPLAY,D14 DISPLAY NINJA K12010 KNIFE BLOCK,62235657983,599683371,GNFR,100678188,
14,30,PW KNIFE DSP TEAL,D14 DISPLAY 14PC PW KNIFE BLOCK SET TEAL,74139357890,586953267,GNFR,100667979,
14,30,TASTY KNIFE DISPLAY,D14 DISPLAY TASTY KNIFE DISPLAY SET,74139307980,586953264,GNFR,100683299,
14,30,CUIS 14PC DISPLAY,D14 DISPLAY CUIS 14PC BLK SET,8627918697,586986500,GNFR,100670127,
14,30,CUIS WTR DISPLAY,D14 DISPLAY CUIS WTR 15PC SET,8627920190,599496204,GNFR,100683791,
14,30,CALPHALON SELECT 12,D14 DISPLAY CALPHALON SELECT 12 SET,1685311071,650120639,Early Spring 2024 Delete,Early Spring 2024 Delete,
14,30,13PC CUTLERY BLK SET,13PC CUTLERY BLK SET,1601716300,650216525,GNFR,100684018,
14,30,15-PC DISPLAY,15-PC DISPLAY,3588665649,650181181,GNFR,100685760,
14,30,BD DISPLAY,BD DISPLAY,88583703256,599088811,1-700-WALMART,NA,
14,30,BEA 12PC BLK DISPLAY,D14 DISPLAY BEA 12PC BLK DISPLAY,4590814397,658407212,GNFR,100694414,
14,30,CUTLERY FIXTURE,D14 CUTLERY BIN 2FT MAINSTAYS,NA,NA,GNFR,100655305,
14,141,CORELLE PM FIXTURE,D14 DIS 8POCKET VERTICAL PLACEMAT RACK,7314349085,1474757,GNFR,100502327,
14,142,PLACEMAT SIDEKICK,D14 SIDEKICK CHARACTER PLACEMAT,NA,NA,GNFR,100642980,
14,210,CIRKUL INLINE TRAY,CIRKUL INLINE TRAY,NA,NA,1-700-WALMART,NA,
14,240,CAMBRIDGE FLATWARE OPENSTOCK DIS,D14 CAMBRIDGE FLATWARE BIN FIXTURE,NA,NA,GNFR,100651114,
14,240,CAMBRIDGE MAGNETIC STRIPS,D14 CSL MAGNET STRIP BYRAM RBW/HARMNZ,NA,NA,GNFR,100660048,
14,240,CAMBRIDGE MAGNETIC STRIPS,D14 CSL MAGNET STRIP BYRAM BLK/PEPINO,NA,NA,GNFR,100660049,
14,240,MAINSTAYS FLATWARE OPENSTOCK DIS,D14 DISPLAY 2FT FLATWARE FIXTURE,NA,NA,GNFR,100655304,
14,240,ONEIDA FLATWARE OPENSTOCK DIS,D14 ONEIDA FLATWARE BIN FIXTURE,NA,NA,GNFR,100652136,
14,240,ONEIDA MAGNETIC STRIPS,D14 FLATWARE ONEIDA MAGNETIC STRIP 2PK,NA,NA,GNFR,100673431,
14,240,4PC MAGNETIC STRIPS,D14 4PC MAGNETIC STRIPS FOR 8FT MOD C240,489517612335,599886166,GNFR,100683470,
14,240,2PC MAGNETIC STRIPS,D14 2PC MAGNETIC STRIPS FOR 4FT MOD C240,489517612336,599886165,GNFR,100683471,
14,320,BD 4SLICE TOASTR NWD,D14 DISPLAY BD 4 SLICE TOASTER,5087581481,553043579,GNFR,100637149,
14,320,BD 2 SS TOASTER NWD,D14 DISPLAY 2SL TOASTER BLACK,5087581239,551991557,GNFR,100641357,
14,320,BD 2 BL SS TOAST NWD,D14 DISPLAY BD 2 BL SS TOAST NWD,5087582828,581659266,GNFR,100665054,
14,320,BD 4SL TOAST OV NWD,D14 DISPLAY BD 4SL TOAST OV NWD,5087582829,581880406,GNFR,100665055,
14,320,BD 6SL TOAST OV NWD,D14 DISPLAY BD 6SL TOAST OV NWD,5087582830,581659260,GNFR,100665056,
14,320,BD 2 WIDE TOAST NWD,D14 DISPLAY BD 2 WIDE TOAST NWD,5087500175,595823399,GNFR,100673253,
14,320,CUISIN 4SL TOAST NWD,D14 DISPLAY CUIS 4 SLICE TOASTER,8627918451,587090823,GNFR,100670128,
14,320,CUISIN TOAST OV NWD,D14 DISPLAY CUIS AIR FRY,8627919025,592342002,GNFR,100674031,
14,320,OS BELGIAN WAFFL NWD,D14 DISPLAY OS BELGIAN WAFFL NWD,3426446780,552055240,GNFR,100646132,
14,320,OS DIAMON WAFFLE NWD,D14 DISPLAY OS DIAMON WAFFLE NWD,5389115778,587044727,GNFR,100671482,
14,320,OS FRNCHDR OVEN NWD,D14 DISPLAY OS FRNCHDR OVEN NWD,5389116300,595440018,GNFR,100673926,
14,320,COSORITOASTOVENDSPLY,D14 DISPLAY COSORITOASTOVENDSPLY,81004337789,652256429,GNFR,100684167,
14,320,BTFL 2SL TOASTER NWD,D14 DISPLAY BTFL 2SL TOASTER NWD,82948619155,650153094,GNFR,100686544,
14,320,CHEFMAN WAFFLE NWD,D14 DISPLAY CHEFMAN WAFFLE NWD,81008784474,654909902,GNFR,100692353,
14,320,RBD 2SL TOASTER NWD,D14 DISPLAY RBD TOASTER DISPLAY,81005185924,655247167,GNFR,100693405,
14,320,RBD WAFFLE MAKER NWD,D14 DISPLAY RBD WAFFLE DISPLAY,81005185925,655247164,GNFR,100693406,
14,320,RBD EGG BITE MKR NWD,D14 DISPLAY RBD EGG BITE MKR NWD,81005185978,659319843,GNFR,100699061,
14,320,HB 2SL TOASTER NWD,D14 DISPLAY HB 2SL TOASTER NWD,4009495439,659321307,GNFR,100699003,
14,320,PRST PIZZA MAKER NWD,D14 DISPLAY PRST PIZZA MAKER NWD,7574119641,661045252,GNFR,100699033,
14,320,BTFL TOAST OV WH NWD,D14 DISPLAY BTFL TOAST OV WH NWD,82948619382,659306447,GNFR,100699037,
14,320,GOURMIA TOAST OV NWD,D14 DISPLAY GOURMIA TOAST OV NWD,81000286434,659320579,GNFR,100699265,
14,320,KALORIK TOAST OV NWD,KALORIK TOAST OV NWD,84805201642,659324856,1-700-WALMART,N/A,
14,320,INSPIREX TOASTER NWD,INSPIREX TOASTER NWD,81006170968,659444423,1-700-WALMART,N/A,
14,320,TEAL WAFFLE DISPLAY,TEAL WAFFLE DISPLAY,8267700420,582640332,1-700-WALMART,N/A,
14,320,TEAL EGG DISPLAY,TEAL EGG DISPLAY,8267700422,582640334,1-700-WALMART,N/A,
14,320,MY MINI SDWH DISP,MY MINI SDWH DISP,81006170772,652560130,1-700-WALMART,N/A,
14,320,MY MINI NDL CKR DISP,MY MINI NDL CKR DISP,81006170773,652560132,1-700-WALMART,N/A,
14,320,MYMINI TOASTER NWD,MYMINI TOASTER NWD,81006170774,652560131,1-700-WALMART,N/A,
14,320,MS WAFFLE MAKER NWD,MS WAFFLE MAKER NWD,65577202255,659607905,1-700-WALMART,N/A,
14,320,MS XL TOAST OVEN NWD,MS XL TOAST OVEN NWD,84029650553,659581710,1-700-WALMART,N/A,
14,320,MS 2 SL TOASTER NWD,MS 2 SL TOASTER NWD,489707455210,582819940,1-700-WALMART,N/A,
14,320,MS 4SL TOASTER NWD,MS 4SL TOASTER NWD,489707455211,582819941,1-700-WALMART,N/A,
14,320,MS TOAST OV BLK NWD,MS TOAST OV BLK NWD,489707455347,655262430,1-700-WALMART,N/A,
14,320,MS WAFFL SANDWCH NWD,MS WAFFL SANDWCH NWD,692249579501,655262442,1-700-WALMART,N/A,
14,320,FW SNGLE WAFFLE NWD,FW SNGLE WAFFLE NWD,84014601953,575499586,1-700-WALMART,N/A,
14,320,FW 4SL TOASTER NWD,FW 4SL TOASTER NWD,489707455212,582640330,1-700-WALMART,N/A,
14,320,PW 2SL TOASTER NWD,PW 2SL TOASTER NWD,489707455329,652666164,1-700-WALMART,N/A,
14,320 & 391,PXL TOASTER OV NWD,D14 DISPLAY PXL TOASTER OV NWD,75235683158,581659250,GNFR,100664122,
14,320 & 391,EMERIL TOAST OV NWD,D14 DISPLAY EMERIL TOAST OV NWD,75235683961,652305422,GNFR,100685369,
14,320 & 392,NINJA TOASTER OV NWD,D14 DISPLAY NINJA TOASTER OV NWD,62235655805,575359039,GNFR,100651857,
14,320 & 392,NINJ TOAST OV XL NWD,D14 DISPLAY NINJA TOAST OV XL NWD,62235656352,581546857,GNFR,100661324,
14,325,PXL MICROWAVE DISP,D14 DISPLAY PXL MICROWAVE DISP,75235683141,581659249,GNFR,100663928,
14,325,PANA 1.3 DISPLAY,D14 DISPLAY PANASONIC 1.3 CU FT MWO,88517041130,655572473,GNFR,100688494,
14,325,DISPLAY FOR LG 1.5,DISPLAY FOR LG 1.5,4823134264,595505511,NOT AVAILBALE,NOT AVAILBALE,
14,325,GA .9 AIRFRY MWO DIS,GA .9 AIRFRY MWO DIS,19087300461,652535152,1-700-WALMART,N/A,
14,325,GA 0.7 RETRO BLU DIS,GA 0.7 RETRO BLU DIS,19087300563,652535153,1-700-WALMART,N/A,
14,325,GA 1.2 AIRFRY DIS,GA 1.2 AIRFRY DIS,19087300838,595459857,1-700-WALMART,N/A,
14,325,GA 0.7 RETRO CM DIS,GA 0.7 RETRO CM DIS,19087300839,595459851,1-700-WALMART,N/A,
14,325,MS 0.7 CF WHT DIS,MS 0.7 CF WHT DIS,19087300895,652535149,1-700-WALMART,N/A,
14,325,MS 0.7 CF RED DIS,MS 0.7 CF RED DIS,19087300896,597309919,1-700-WALMART,N/A,
14,325,MS 0.7 CF BLK DIS,MS 0.7 CF BLK DIS,19087300897,597309892,1-700-WALMART,N/A,
14,325,MS 1.1 CF DISPLAY,MS 1.1 CF DISPLAY,19087301158,656828301,1-700-WALMART,N/A,
14,325,MS 2.2 MWO BL DS,MS 2.2 MWO BL DS,84029650534,661209586,1-700-WALMART,N/A,
14,325,BTF 1.1 MWO WE DIS,BTF 1.1 MWO WE DIS,19087301069,651554172,1-700-WALMART,N/A,
14,325,HB 1.6 MWO SS DIS,HB 1.6 MWO SS DIS,19087301070,651554281,1-700-WALMART,N/A,
14,325,HB 0.9 CF SS MWO DIS,HB 0.9 CF SS MWO DIS,19087301165,656828333,1-700-WALMART,N/A,
14,325,HB 0.9 CF BSS DIS,HB 0.9 CF BSS DIS,19087301166,657170328,1-700-WALMART,N/A,
14,325,HB 1.1 MWO SS DS,HB 1.1 MWO SS DS,81004094568,595792247,1-700-WALMART,N/A,
14,325,HB 1.1 BSS MWO DS,HB 1.1 BSS MWO DS,81004094569,595680307,1-700-WALMART,N/A,
14,325,HB 1.1 WSS MWO DS,HB 1.1 WSS MWO DS,81004094570,595680285,1-700-WALMART,N/A,
14,325,CHEFMAN MWO DISPLAY,CHEFMAN MWO DISPLAY,81008784356,652835095,1-700-WALMART,N/A,
14,325,TOSHIBA 2.2 MWO DS,TOSHIBA 2.2 MWO DS,84029650301,657323793,1-700-WALMART,N/A,
14,330,MAGIC BULLET 11PC DS,D14 DISPLAY MAGIC BULLET 11PC DS,81804902418,582083568,GNFR,100637056,
14,330,MAGIC BULLET MINI DS,D14 DISPLAY MAGIC BULLET MINI,81804902332,578165788,GNFR,100656945,
14,330,MAGIC BULLET 4PC DSP,D14 DISPLAY MAGIC BULLET 4PC DSP,81009797230,659557176,GNFR,100699032,
14,330,NB 600 BLENDER DISP,D14 DISPLAY NB 600 BLENDER DISP,81804902221,575697174,GNFR,100652883,
14,330,NB900 DSP MATTE BLK,D14 DISPLAY NB900 DSP MATTE BLK,81009797021,652240543,GNFR,100685285,
14,330,BLENDJET 2 DISPLAY,D14 DISPLAY BLENDJET 2 DISPLAY,81005364103,651511349,GNFR,100685364,
14,330,PORTABLE BLENDING FIXTURE,D14 BLENDJET PORTABLE BLENDING FIXTURE,NA,NA,GNFR,100691697,
14,330,BD 8C FOOD PROC DIS,D14 DISPLAY BD 8C FOOD PROCESSOR,5087582071,564653863,GNFR,100637144,
14,330,BD QUIET BLENDER DIS,D14 DISPLAY BD QUIET BLENDER BL1400DG-P,5087582780,578041431,GNFR,100656839,
14,330,HB SS BLENDER DISPLY,D14 DISPLAY HB SS BLENDER,4009493990,571964996,Early Spring 2024 Delete,Early Spring 2024 Delete,
14,330,HB SMOOTHIE BLD DSP,D14 DISPLAY HB SMTH BLENDER 50180DISW,4009495334,657458375,GNFR,100692372,
14,330,HB GLASS JAR BLK DSP,D14 DISPLAY HB GLASS JAR BLK DSP,4009495440,659544046,GNFR,100699004,
14,330,HB GLASS JAR RED DSP,D14 DISPLAY HB GLASS JAR RED DSP,4009495441,659544047,GNFR,100699005,
14,330,HB FOOD PROC NWD,D14 DISPLAY HB FOOD PROC NWD,4009495442,659556248,GNFR,100699006,
14,330,BTFL STNDMXR WH DISP,D14 DISPLAY BTFL STNDMXR WH DISP,82948619316,655697055,GNFR,100692343,
14,330,OS BIG JAR BLNDR DS,D14 DISPLAY OS BIG JAR BLENDER,5389114779,581592955,GNFR,100664032,
14,330,OST CLAS BLN WHT DSP,D14 DISPLAY OST CLAS BLN WHT DSP,5389117476,659557443,GNFR,100699048,
14,330,OST ONE TCH BLD DSP,D14 DISPLAY OST ONE TCH BLD DSP,5389117374,659557444,GNFR,100699049,
14,330,OST PRO KTC SYS DSP,D14 DISPLAY OST PRO KTC SYS DSP,5389116760,659557446,GNFR,100699260,
14,330,OST CLS KTC SYS DSP,D14 DISPLAY OST CLS KTC SYS DSP,5389117474,659557447,GNFR,100699261,
14,330,OST CLSS BLK BLD DSP,D14 DISPLAY OST CLSS BLK BLD DSP,5389117475,659557448,GNFR,100699262,
14,330,MS SNGLSRVBLNDR DISP,MS SNGLSRVBLNDR DISP,84014620206,581850197,1-700-WALMART,N/A,
14,330,MS BLENDER BLK DSP,MS BLENDER BLK DSP,84014620207,659580570,1-700-WALMART,N/A,
14,330,FW STAND MIXER DSP,FW STAND MIXER DSP,697415597005,659660402,1-700-WALMART,N/A,
14,330,CULINARY DISPLAY,D14 DISPLAY KA CULINARY,88304962741,595426809,GNFR,100674094,
14,330 & 391,KA CLASSIC MIXER DIS,D14 DISPLAY KA CLASSIC MIXER,88304950082,568570268,GNFR,100637200,
14,330 & 391,KA DELUXE SILVER DIS,,88304960002,581659333,Early Spring 2024 Delete,Early Spring 2024 Delete,
