store nbr,firearm trans id,serial_nbr,certification date,sent to nics date,VA Create Date,VA Approval,State Transaction Number ,Correction,
154,1585260,4122136,7/8/2023,7/8/2023,7/8/2023,7/8/2023,D6677506,Section A,
154,1612574,4058840,9/23/2023,9/23/2023,9/23/2023,9/23/2023,D6765977,Section A,
154,1617106,4388925,10/4/2023,10/4/2023,10/4/2023,10/4/2023,D6779897,Section A,
154,1633633,MPR0447383,10/31/2023,10/31/2023,10/31/2023,10/31/2023,D6818166,Section A,
154,1636396,WTT030210,11/4/2023,11/4/2023,11/4/2023,11/4/2023,D6826428,Section A,
154,1641315,UM0042455,11/8/2023,11/8/2023,11/8/2023,11/8/2023,D6831269,Section A,
154,1649945,57-H21PT-032947,11/18/2023,11/18/2023,11/18/2023,11/18/2023,D6849176,Section A,
154,1651515,MPR0443662,11/20/2023,11/20/2023,11/20/2023,11/20/2023,D6851362,Section A,
154,1656961,1103693,11/25/2023,11/25/2023,11/25/2023,11/25/2023,D6862528,Section A,
154,1657395,R059555,11/25/2023,11/25/2023,11/25/2023,11/25/2023,D6863469,Section A,
154,1664122,MPR0421079,12/3/2023,12/3/2023,12/3/2023,12/3/2023,D6876729,Section A,
154,1667952,4445942,12/8/2023,12/8/2023,12/8/2023,12/8/2023,D6885283,Section A,
154,1675922,1099162,12/16/2023,12/16/2023,12/16/2023,12/16/2023,D6899361,Section A,
154,1694647,"R056945, MPR0523200",12/31/2023,12/31/2023,12/31/2023,12/31/2023,D6927929,Section A,
154,1702748,21PA12T-7292,1/22/2024,1/22/2024,1/22/2024,1/22/2024,D6956961,Section A,
154,1702851,28A23-000898,1/22/2024,1/22/2024,1/22/2024,1/22/2024,D6957441,Section A & B,
154,1733309,FFSB10971G,4/10/2024,4/10/2024,4/10/2024,4/10/2024,D7073594,Section A,
1023,1586027,4029440,7/13/2023,7/13/2023,7/13/2023,7/13/2023,D6681506,Section A,
1023,1590935,FFSB03516G,8/4/2023,8/4/2023,8/4/2023,8/4/2023,D6707910,Section A,
1023,1607979,MPR0459895,9/11/2023,9/11/2023,9/11/2023,9/11/2023,D6751002,Section A,
1023,1623856,692500376,10/13/2023,10/13/2023,10/13/2023,10/13/2023,D6792362,Section A,
1023,1636777,MPR0477186,11/4/2023,11/4/2023,11/4/2023,11/4/2023,D6826643,Section A,
1023,1637441,MPR0477210,11/5/2023,11/5/2023,11/5/2023,11/5/2023,D6827322,Section A,
1023,1641076,4379190,11/8/2023,11/8/2023,11/8/2023,11/8/2023,D6830738,Section A,
1023,1642371,1092820,11/10/2023,11/10/2023,11/10/2023,11/10/2023,D6833088,Section A,
1023,1660042,TR6022-078414SP,11/29/2023,11/29/2023,11/29/2023,11/29/2023,D6868572,Section A,
1023,1686606,R058678,12/22/2023,12/22/2023,12/22/2023,12/22/2023,D6914260,Section A,
1023,1693386,1088743,12/29/2023,12/29/2023,12/29/2023,12/29/2023,D6924131,Section A,
1023,1700777,R062595,1/16/2024,1/16/2024,1/16/2024,1/16/2024,D6949781,Section A,
1023,1714123,MV0921915,2/19/2024,2/19/2024,2/19/2024,2/19/2024,D6997756,Section A,
1023,1718666,R077612,2/29/2024,2/29/2024,2/29/2024,2/29/2024,D7014951,Section A,
1023,1729756,4480012,3/29/2024,3/29/2024,3/29/2024,3/29/2024,D7059378,Section A,
1023,1730647,V1882796,4/1/2024,4/1/2024,4/1/2024,4/1/2024,D7061562,Section A,
1023,1738335,FFSB10994G,4/25/2024,4/25/2024,4/25/2024,4/25/2024,D7094044,Section A,
1243,1606801,21P4106585,9/8/2023,9/8/2023,9/8/2023,9/8/2023,D6748209,Section A,
1243,1612103,D20M03945,9/22/2023,9/22/2023,9/22/2023,9/22/2023,D6764318,Section A,
1243,1678216,3994141,12/17/2023,12/17/2023,12/17/2023,12/17/2023,D6902047,Section A,
1243,1685363,410A22-004337,12/22/2023,12/22/2023,12/22/2023,12/22/2023,D6912997,Section A,
1243,1689788,1031802,12/24/2023,12/24/2023,12/24/2023,12/24/2023,D6916944,Section A,
1243,1690172,KW2100875,12/24/2023,12/24/2023,12/24/2023,12/24/2023,D6917173,Section A,
1243,1690719,12S23-001534,12/24/2023,12/24/2023,12/24/2023,12/24/2023,D6917416,Section A,
1243,1701732,4169480,1/19/2024,1/19/2024,1/19/2024,1/19/2024,D6954172,Section A,
1243,1707930,7CA430769T,2/5/2024,2/5/2024,2/5/2024,2/5/2024,D6978077,Section A,
1243,1714567,0018-38392,2/20/2024,2/20/2024,2/20/2024,2/20/2024,D6999926,Section A,
1292,1652954,4270316,11/21/2023,11/22/2023,11/22/2023,11/22/2023,D6854922,Section A,
1301,1582375,4173647,7/1/2023,7/1/2023,7/1/2023,7/1/2023,D6669879,Section A,
