Store Nbr,Dept Subcategory Description,Week 34 Forecast,Week 35 Forecast,Week 36 Forecast,Week 37 Forecast,Week 38 Forecast,Week 39 Forecast,Week 40 Forecast,Week 41 Forecast,Week 42 Forecast,Week 43 Forecast,Week 44 Forecast,Week 45 Forecast,Week 46 Forecast,Week 47 Forecast,Week 48 Forecast,Week 49 Forecast,Week 50 Forecast,Week 51 Forecast,Week 52 Forecast,Week 01 Forecast
1,12IN BIKES,5,4,4,4,4,4,4,6,7,8,11,14,18,22,31,5,3,2,2,4
1,16IN BIKES,6,7,7,6,5,5,6,8,8,10,15,19,20,34,28,6,4,3,3,4
1,18IN BIKES,2,1,2,2,1,1,1,1,2,2,3,4,5,6,9,2,1,1,1,1
1,20IN BIKES,7,7,7,7,6,6,6,7,7,9,14,17,24,18,24,6,3,3,3,4
1,BEACH CRUISERS,0,1,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0
1,ELECTRIC BIKES,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
1,MOUNTAIN BIKES,4,4,4,3,3,2,2,2,2,2,3,5,5,8,8,2,2,1,1,2
1,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2,12IN BIKES,2,2,2,2,2,2,2,3,3,3,5,6,9,6,7,2,1,1,1,1
2,16IN BIKES,3,3,3,4,3,3,4,6,6,8,10,14,17,17,16,4,2,2,2,2
2,18IN BIKES,2,2,2,2,2,2,2,2,3,3,4,4,6,6,9,2,2,1,1,2
2,20IN BIKES,7,7,7,7,6,6,7,7,8,11,14,22,31,29,28,7,4,3,4,4
2,BEACH CRUISERS,0,1,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0
2,MOUNTAIN BIKES,3,3,3,2,2,2,2,3,2,4,3,5,3,8,6,2,1,1,1,2
3,12IN BIKES,3,3,3,3,2,2,3,3,5,5,9,11,22,30,24,3,1,1,1,2
3,16IN BIKES,3,3,3,2,2,2,2,4,4,7,6,11,14,18,23,3,1,1,1,2
3,18IN BIKES,2,2,2,2,2,2,2,3,4,5,6,11,18,24,21,3,1,1,1,1
3,20IN BIKES,3,3,3,3,2,2,2,4,4,5,8,16,21,25,19,3,1,1,1,1
3,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
3,MOUNTAIN BIKES,2,2,1,1,1,1,1,1,1,2,2,3,6,4,7,1,1,1,1,1
4,12IN BIKES,5,5,5,5,5,4,4,5,6,6,11,12,20,18,23,5,3,3,3,4
4,16IN BIKES,5,5,5,5,4,4,5,7,7,10,14,19,20,33,28,5,3,2,2,3
4,18IN BIKES,3,3,3,3,3,3,2,3,3,4,5,6,8,9,9,3,2,2,2,2
4,20IN BIKES,8,8,8,7,7,7,7,8,9,10,16,21,30,34,40,7,4,4,4,4
4,BEACH CRUISERS,1,1,1,1,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,0
4,MOUNTAIN BIKES,3,3,3,3,2,2,2,3,2,4,3,4,4,9,7,2,1,1,1,2
4,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5,12IN BIKES,4,4,4,4,4,4,4,5,6,7,12,14,18,17,16,4,2,2,2,3
5,16IN BIKES,3,3,4,4,3,3,4,6,6,6,15,18,22,22,20,4,2,2,2,2
5,18IN BIKES,4,3,4,4,3,3,4,4,4,6,9,16,28,23,30,4,2,2,1,2
5,20IN BIKES,9,10,10,9,8,8,9,11,11,14,25,36,53,49,37,8,5,4,4,5
5,BEACH CRUISERS,1,2,1,1,1,1,1,1,1,2,1,3,3,3,3,1,1,1,1,1
5,MOUNTAIN BIKES,6,6,6,5,4,4,4,5,4,5,6,8,9,14,12,4,3,2,2,3
7,12IN BIKES,2,2,2,1,1,1,2,3,3,4,6,9,11,16,15,1,1,1,1,1
7,16IN BIKES,3,3,3,3,3,3,3,5,5,6,9,12,16,19,23,4,2,2,2,2
7,18IN BIKES,2,2,2,2,2,1,2,2,2,3,5,8,12,21,17,2,1,1,1,1
7,20IN BIKES,4,4,4,4,3,4,4,5,6,8,12,22,34,39,38,4,2,2,2,2
7,BEACH CRUISERS,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0
7,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,2,3,3,6,4,1,1,0,0,1
7,MULTI USE BIKES,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
8,12IN BIKES,1,1,1,1,1,1,1,2,2,2,3,5,7,6,9,1,0,0,0,1
8,16IN BIKES,1,1,1,1,1,1,1,1,2,2,3,7,10,14,12,1,1,0,0,1
8,18IN BIKES,0,0,0,0,0,0,0,1,1,1,1,2,4,6,6,0,0,0,0,0
8,20IN BIKES,3,3,3,3,2,2,3,3,3,4,9,15,24,24,17,3,1,1,1,1
8,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
8,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,2,2,4,2,4,1,1,0,0,1
9,12IN BIKES,4,3,4,3,3,3,3,4,5,5,10,11,15,13,17,2,2,1,1,2
9,16IN BIKES,4,4,4,3,3,3,3,4,4,4,9,11,17,20,22,3,2,1,1,2
9,18IN BIKES,2,2,2,1,1,1,1,2,2,3,5,6,10,9,11,1,1,1,1,1
9,20IN BIKES,7,6,6,6,5,5,5,6,6,6,13,17,28,30,27,5,3,3,3,3
9,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1
9,MOUNTAIN BIKES,3,3,3,3,2,2,1,2,2,2,2,3,4,5,4,2,1,1,1,1
9,MULTI USE BIKES,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
10,12IN BIKES,3,2,3,2,2,2,2,3,3,5,9,7,17,17,24,3,1,1,1,2
10,16IN BIKES,4,4,5,4,4,4,4,5,6,7,12,16,21,25,26,4,2,2,2,3
10,18IN BIKES,1,1,1,1,1,1,1,1,1,1,2,3,6,7,7,1,0,0,0,0
10,20IN BIKES,4,4,4,4,4,3,3,4,5,7,12,16,24,27,25,4,2,2,2,2
10,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0
10,MOUNTAIN BIKES,3,2,3,2,2,2,2,2,2,2,3,3,4,3,5,2,1,1,1,1
10,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,12IN BIKES,2,2,2,2,2,2,2,2,3,3,7,10,14,17,15,1,1,1,1,1
11,16IN BIKES,4,4,4,4,4,4,4,5,6,8,11,16,23,29,24,5,3,2,2,2
11,18IN BIKES,3,2,3,3,2,2,2,3,3,5,6,10,16,19,18,2,1,1,1,1
11,20IN BIKES,8,8,8,7,7,7,6,8,9,11,18,26,34,34,31,7,4,3,4,4
11,BEACH CRUISERS,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
11,MOUNTAIN BIKES,3,2,3,2,2,2,1,2,2,2,3,4,8,5,9,2,1,1,1,1
11,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
12,12IN BIKES,3,3,3,3,3,3,3,4,5,5,10,11,20,20,24,3,2,1,1,2
12,16IN BIKES,4,4,4,4,4,3,3,6,6,7,10,15,22,18,23,4,2,2,2,2
12,18IN BIKES,2,2,3,2,2,2,2,2,2,3,6,7,14,21,16,2,1,1,1,1
12,20IN BIKES,8,7,7,7,6,6,6,7,8,9,14,22,30,34,31,7,4,3,4,4
12,BEACH CRUISERS,1,1,1,1,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0
