STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,TY Planned Forecasted Sales,LY Total Sales
1,7,5,16,102,39
2,74,17,240,766,376
3,6,3,11,314,27
4,102,4,149,348,174
5,4,9,27,129,48
7,20,2,15,76,38
8,5,6,12,82,41
9,12,5,7,56,28
10,154,16,199,838,417
11,297,73,220,828,414
12,9,5,18,106,39
13,26,5,29,110,54
14,119,29,123,306,150
15,226,30,272,843,371
16,4,2,22,173,86
17,12,2,12,188,61
18,0,0,0,0,0
19,51,10,117,308,151
20,0,5,23,266,133
21,2,14,27,244,120
22,7,5,18,96,46
23,4,4,22,70,35
24,0,0,0,0,2
25,4,7,7,54,27
26,7,3,16,100,49
27,80,23,72,278,139
28,4,6,18,66,33
29,0,0,0,0,0
30,1,0,0,0,15
31,0,0,0,0,0
32,14,3,7,52,26
33,0,0,0,0,1
34,0,6,0,0,8
35,13,2,37,89,42
36,7,9,30,86,45
37,76,35,201,328,152
38,10,6,10,52,25
39,0,3,19,79,39
40,21,12,15,84,40
41,16,2,17,95,32
42,6,6,11,60,28
43,12,4,31,82,43
44,1,0,0,0,0
45,9,4,11,50,25
46,13,18,98,246,123
47,2,4,5,13,6
48,11,3,11,72,36
49,3,12,22,134,67
50,8,5,14,74,36
51,0,0,0,0,0
52,15,7,58,119,97
54,8,6,11,58,27
55,0,0,0,0,5
56,6,16,27,100,99
57,0,0,0,0,10
58,64,25,198,451,284
59,70,3,39,92,51
60,4,9,16,77,29
61,16,6,35,91,41
62,0,0,0,0,1
63,10,7,30,76,38
64,0,0,0,0,1
65,15,17,38,162,67
66,14,2,153,331,210
67,9,5,29,143,143
68,0,0,0,0,0
69,5,7,59,110,104
70,0,0,0,0,0
71,22,9,42,89,42
72,14,3,12,45,30
73,8,2,10,33,15
74,0,0,0,0,1
75,8,3,13,65,29
76,7,7,37,142,119
77,18,2,18,92,56
78,19,7,15,110,64
79,59,3,86,278,129
80,0,0,0,0,0
81,8,5,10,53,30
82,55,16,53,104,51
83,0,0,0,0,1
85,6,6,16,46,32
86,14,13,20,79,72
87,5,8,7,38,23
88,0,14,9,119,32
89,180,28,157,509,266
90,36,2,120,174,135
91,0,0,0,0,0
92,9,5,29,88,54
93,15,4,2,59,13
94,0,0,0,0,1
95,34,19,135,287,159
96,7,2,13,56,21
97,0,0,0,0,1
98,7,3,7,38,19
99,11,4,8,61,28
100,13,4,40,268,90
101,148,8,131,473,250
102,0,0,0,0,0
103,7,5,19,105,17
104,16,6,21,57,30
105,9,11,34,80,47
106,0,0,0,0,0
107,15,9,21,103,37
108,9,5,10,40,21
109,6,4,16,134,38
110,0,0,0,0,-1
111,0,0,0,0,0
112,5,2,13,46,27
113,14,16,29,87,38
114,14,7,11,99,48
115,0,0,0,0,1
116,0,0,0,0,1
117,117,8,64,313,187
118,4,2,12,52,7
119,132,74,188,532,268
120,0,0,0,0,0
121,12,5,9,49,25
122,0,49,10,83,35
123,0,0,0,0,3
124,1,0,0,0,0
125,31,5,19,78,79
126,8,2,8,38,30
127,13,6,13,63,31
128,10,5,12,55,34
129,93,10,35,115,67
130,1,0,0,0,0
131,15,14,84,180,81
132,0,0,0,0,0
133,0,0,0,0,1
134,84,0,21,143,74
135,20,1,22,127,69
136,0,0,0,0,2
137,16,2,20,95,58
138,29,12,64,150,79
139,7,11,29,87,47
140,9,8,32,130,65
141,8,6,19,57,38
143,74,8,112,231,196
144,30,6,45,150,105
145,0,0,0,0,0
146,7,10,23,98,50
147,32,25,71,187,103
148,16,12,82,158,67
149,13,2,9,50,28
150,0,0,0,0,0
151,9,7,44,106,103
152,23,10,60,182,132
153,10,6,12,55,31
154,94,7,75,295,180
155,8,1,15,66,36
157,24,117,21,53,35
158,27,6,23,142,73
159,12,5,9,62,31
160,71,172,256,731,376
161,111,2,58,112,90
162,0,0,0,0,0
163,13,12,30,140,65
164,0,0,0,0,0
165,11,9,12,84,41
166,80,17,39,126,125
