Market,Store,LY Shrink %,FY23 Shrink Plan %
1,853,-1.99%,-2.19%
1,866,-1.74%,-1.90%
1,904,-1.12%,-1.32%
1,934,-1.03%,-1.17%
1,991,-2.85%,-3.10%
1,1212,-2.20%,-2.43%
1,2748,-0.61%,-0.89%
1,4333,-1.11%,-1.16%
1,4581,-0.94%,-1.10%
1,5174,-1.65%,-1.81%
1,6173,-1.15%,-1.23%
2,562,-0.99%,-1.10%
2,670,-0.95%,-1.10%
2,762,-2.82%,-2.74%
2,1158,-2.10%,-2.18%
2,1711,-3.19%,-2.88%
2,2723,-0.45%,-0.70%
2,5113,-0.85%,-1.03%
2,7280,-0.84%,-0.94%
3,300,-0.72%,-0.85%
3,301,-1.43%,-1.51%
3,315,-0.40%,-0.70%
3,316,-1.00%,-1.09%
3,681,-1.16%,-1.24%
3,691,-0.95%,-1.23%
3,1201,-2.65%,-2.62%
3,2713,-2.43%,-2.50%
3,3386,-0.45%,-0.70%
3,5126,-0.27%,-0.70%
4,118,-0.59%,-0.73%
4,164,-0.61%,-0.70%
4,258,-1.06%,-1.14%
4,273,-0.75%,-0.81%
4,391,-1.50%,-1.57%
4,394,-0.81%,-0.96%
4,403,-1.19%,-1.35%
4,409,-1.49%,-1.65%
4,662,-1.12%,-1.34%
4,1100,-0.68%,-0.82%
4,1124,-1.07%,-1.15%
5,298,-0.42%,-0.66%
5,306,-0.71%,-0.87%
5,332,-1.59%,-1.80%
5,375,-1.14%,-1.55%
5,433,-1.69%,-1.74%
5,434,-0.82%,-0.89%
5,712,-0.66%,-0.75%
5,2690,-0.57%,-0.68%
5,5197,-0.90%,-0.96%
5,5703,-1.15%,-1.18%
5,6878,-0.67%,-0.76%
5,7324,-0.79%,-0.96%
7,604,-1.93%,-2.27%
7,723,-1.22%,-1.71%
7,734,-2.42%,-2.67%
7,740,-0.90%,-1.22%
7,1063,-1.75%,-1.92%
7,1091,-0.83%,-1.14%
7,1134,-1.57%,-1.72%
7,1462,-0.16%,-0.70%
7,1638,-1.76%,-1.87%
7,2114,-1.53%,-1.57%
7,2534,-1.50%,-1.76%
8,424,-1.18%,-1.29%
8,483,-1.41%,-1.83%
8,700,-2.33%,-2.56%
8,930,-0.95%,-1.50%
8,938,-1.88%,-2.04%
8,1101,-1.32%,-1.58%
8,4318,-1.04%,-1.24%
8,4407,-2.19%,-2.83%
8,5348,-3.28%,-2.80%
9,3049,-0.49%,-1.61%
9,3143,-1.01%,-1.28%
9,3357,-1.90%,-2.42%
9,3377,-1.02%,-1.23%
9,4264,-0.61%,-0.82%
9,4293,-2.45%,-1.77%
9,4324,-0.81%,-0.84%
9,4473,-0.94%,-1.00%
9,4490,-1.79%,-2.05%
9,4603,-2.44%,-2.72%
9,5304,-1.12%,-1.15%
9,5725,-2.70%,-2.66%
10,329,-1.25%,-1.44%
10,355,-1.23%,-1.47%
10,356,-0.66%,-1.10%
10,432,-0.87%,-1.13%
10,726,-1.29%,-1.53%
10,730,-0.96%,-1.03%
10,733,-1.37%,-1.89%
10,809,-0.68%,-0.80%
10,863,-0.51%,-0.80%
10,1057,-0.85%,-1.22%
11,287,-1.83%,-1.91%
11,362,-0.81%,-0.87%
11,425,-0.72%,-0.83%
11,715,-1.52%,-1.69%
11,731,-1.76%,-2.00%
11,764,-2.32%,-2.63%
11,1052,-0.98%,-1.09%
11,2306,-1.68%,-1.75%
13,423,-1.89%,-1.80%
13,1229,-1.56%,-1.76%
13,1481,-1.50%,-1.80%
13,2111,-1.51%,-1.65%
13,3271,-1.61%,-1.68%
13,4330,-0.89%,-1.06%
13,4497,-1.58%,-1.90%
13,5262,-1.22%,-1.35%
14,990,-0.67%,-0.80%
14,1174,-0.61%,-0.78%
14,1222,-1.30%,-1.60%
14,1224,-1.10%,-1.30%
14,1493,-0.27%,-0.70%
14,1605,-1.09%,-1.25%
14,1620,-0.53%,-0.70%
14,2533,-0.47%,-0.70%
14,2739,-0.89%,-1.04%
14,2760,-0.54%,-0.70%
14,3484,-0.55%,-0.70%
14,3785,-1.05%,-1.23%
14,7247,-1.30%,-1.47%
15,818,-1.45%,-1.60%
15,919,-1.58%,-1.67%
15,944,-1.01%,-1.21%
15,1032,-1.10%,-1.30%
15,1207,-1.31%,-1.49%
15,1362,-1.20%,-1.34%
15,3075,-1.74%,-1.98%
15,3119,-1.18%,-1.33%
15,3439,-1.22%,-1.33%
15,5845,-0.97%,-1.13%
15,5872,-0.96%,-1.06%
16,494,-1.73%,-2.14%
16,614,-2.29%,-2.25%
16,932,-1.39%,-1.60%
16,1112,-1.17%,-1.39%
16,1284,-1.30%,-1.70%
16,1311,-1.45%,-1.71%
16,1338,-2.88%,-2.50%
16,3461,-1.02%,-1.33%
16,4200,-1.77%,-2.15%
16,4283,-1.97%,-2.30%
16,5363,-2.22%,-2.45%
18,1070,-0.92%,-1.29%
18,1122,-1.51%,-1.69%
18,1403,-0.81%,-1.19%
18,2513,-0.95%,-1.32%
18,2753,-0.35%,-0.70%
18,3485,-0.80%,-0.97%
18,3874,-0.83%,-1.04%
18,4616,-0.43%,-0.82%
18,5786,-0.98%,-1.35%
18,5812,-1.54%,-1.78%
19,745,-1.77%,-1.85%
19,3201,-0.95%,-1.25%
19,3401,-1.31%,-1.76%
19,3402,-1.23%,-1.35%
19,3609,-0.92%,-1.13%
19,3709,-0.69%,-1.14%
19,3741,-2.19%,-2.56%
19,5709,-1.14%,-1.83%
19,6998,-2.34%,-2.69%
20,1184,-1.14%,-1.58%
20,1340,-1.67%,-2.19%
20,2475,-1.09%,-1.32%
20,2584,-1.37%,-1.70%
20,3067,-1.23%,-1.41%
20,3118,-1.71%,-2.04%
20,3188,-2.37%,-2.72%
20,3710,-2.69%,-2.80%
20,4472,-2.53%,-2.57%
21,3,-0.87%,-0.96%
21,510,-1.65%,-2.09%
21,1111,-0.76%,-0.91%
21,1121,-2.16%,-2.25%
21,1363,-0.83%,-1.20%
21,1400,-1.01%,-1.24%
21,1701,0.22%,-0.70%
21,2811,-1.40%,-1.74%
21,3627,-1.47%,-1.71%
21,5482,-1.17%,-1.48%
22,594,-1.28%,-1.32%
22,722,-1.12%,-1.48%
22,727,-1.57%,-1.66%
22,787,-1.33%,-1.92%
22,855,-1.69%,-2.47%
22,856,-1.21%,-1.35%
22,1047,-1.21%,-1.65%
22,1488,-1.36%,-1.81%
22,2732,-1.28%,-1.67%
22,3205,-1.78%,-2.19%
22,4409,-0.90%,-1.26%
23,1181,-2.84%,-2.90%
23,1578,-1.78%,-2.19%
23,1766,-1.26%,-1.49%
23,2360,-2.84%,-2.95%
23,3008,-2.68%,-2.91%
23,3621,-2.72%,-2.85%
23,3775,-3.15%,-2.90%
23,5390,-2.73%,-2.78%
24,575,-0.91%,-1.12%
24,878,-1.55%,-1.98%
24,1314,-2.41%,-2.50%
24,1373,-1.48%,-2.00%
24,2154,-1.70%,-1.80%
24,2941,-1.09%,-1.68%
24,3462,-1.39%,-1.63%
24,4185,-1.61%,-1.99%
24,4436,-1.32%,-1.74%
24,7185,-1.64%,-1.40%
25,459,-0.59%,-0.76%
25,520,-1.17%,-1.52%
25,548,-1.65%,-1.75%
25,780,-1.24%,-1.47%
25,1720,-1.42%,-1.73%
25,3388,-2.16%,-2.41%
25,3389,-2.35%,-2.81%
25,3786,-0.73%,-1.01%
25,4558,-1.87%,-2.03%
25,5252,-1.09%,-1.26%
26,518,-0.61%,-0.99%
26,615,-2.55%,-2.34%
26,618,-1.35%,-1.61%
26,937,-2.41%,-2.90%
26,1586,-3.27%,-3.49%
26,3403,-1.52%,-1.66%
26,3471,-0.55%,-0.90%
26,3611,-2.09%,-2.31%
26,3748,-1.15%,-1.50%
26,5275,-1.41%,-1.77%
26,5814,-1.23%,-1.42%
27,588,-2.73%,-2.50%
27,843,-1.66%,-1.76%
27,889,-1.71%,-1.79%
27,899,-2.01%,-2.15%
27,952,-1.62%,-1.79%
27,1006,-1.05%,-1.24%
27,1072,-1.61%,-1.80%
27,2615,-1.94%,-2.10%
27,5797,-2.68%,-2.50%
27,7194,-1.27%,-1.40%
27,7245,-1.30%,-1.33%
28,556,-1.05%,-1.50%
28,593,-0.47%,-1.20%
28,639,-0.84%,-1.50%
28,686,-1.11%,-1.18%
28,836,-1.09%,-1.46%
28,862,-0.93%,-1.30%
28,864,-1.38%,-1.50%
28,1018,-1.10%,-1.18%
28,1061,-0.47%,-1.00%
28,2630,-0.59%,-1.25%
28,5392,-1.22%,-1.28%
29,605,-3.90%,-3.50%
29,606,-0.98%,-1.22%
29,635,-2.34%,-2.62%
29,728,-2.20%,-2.35%
29,1011,-2.10%,-2.00%
29,1383,-3.68%,-2.81%
29,2832,-1.99%,-2.23%
29,2860,-1.77%,-2.50%
29,4556,-3.91%,-3.41%
29,6395,-3.03%,-2.73%
29,7181,-0.97%,-1.18%
30,754,-2.42%,-2.47%
30,1024,-1.38%,-1.43%
30,1143,-1.15%,-1.21%
30,1227,-2.68%,-2.55%
30,1293,-3.00%,-2.75%
30,1658,-1.74%,-1.78%
30,2754,-2.55%,-2.34%
30,3570,-1.36%,-1.54%
30,4144,-2.09%,-2.20%
30,5735,-1.97%,-2.04%
32,555,-1.10%,-1.27%
32,758,-0.73%,-0.93%
32,907,-0.03%,-0.70%
32,1076,-1.75%,-1.83%
32,1153,-2.10%,-2.40%
32,1367,-1.14%,-1.42%
32,2733,-0.98%,-1.33%
32,2890,-1.03%,-1.48%
32,3750,-1.09%,-1.58%
32,7246,-0.78%,-1.22%
35,631,-2.13%,-2.18%
35,640,-2.98%,-2.84%
35,641,-2.98%,-3.00%
35,1123,-1.44%,-1.53%
35,1244,-3.70%,-2.98%
35,2265,-2.42%,-2.49%
35,2687,-1.41%,-1.46%
35,3191,-1.41%,-1.46%
35,3192,-3.03%,-2.49%
35,3222,-1.75%,-1.81%
35,4583,-2.08%,-2.27%
35,5487,-1.34%,-1.62%
36,628,-2.63%,-2.49%
36,632,-2.65%,-2.64%
36,1037,-2.22%,-2.33%
36,1146,-1.20%,-1.38%
36,1358,-2.13%,-2.36%
36,1359,-3.81%,-3.44%
36,1748,-2.19%,-2.39%
36,2348,-1.71%,-1.89%
36,2928,-2.07%,-2.18%
36,3367,-2.66%,-2.66%
36,4384,-2.02%,-2.09%
37,574,-1.39%,-1.46%
37,586,-1.27%,-1.37%
37,621,-1.29%,-1.41%
37,625,-1.24%,-1.28%
37,643,-1.16%,-1.33%
37,1829,-1.98%,-2.16%
37,2712,-2.27%,-2.40%
37,4664,-1.15%,-1.25%
