STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,TY Planned Forecasted Sales,LY Total Sales
1,6,4,41,102,39
2,44,8,349,766,376
3,11,0,13,314,27
4,19,4,267,348,174
5,9,0,39,129,48
7,13,0,17,76,38
8,8,0,21,82,41
9,13,0,21,56,28
10,147,1,338,838,417
11,95,7,418,828,414
12,6,3,39,106,39
13,13,3,52,110,54
14,45,8,241,306,150
15,175,2,510,843,371
16,3,0,25,173,86
17,11,1,28,188,61
18,0,0,0,0,0
19,4,2,168,308,151
20,0,0,42,266,133
21,14,0,85,244,120
22,12,1,36,96,46
23,13,0,36,70,35
24,0,0,0,0,2
25,14,2,11,54,27
26,9,0,33,100,49
27,57,5,151,278,139
28,7,2,33,66,33
29,0,0,0,0,0
30,1,0,0,0,15
31,0,0,0,0,0
32,13,1,16,52,26
33,0,0,0,0,1
34,7,2,10,0,8
35,16,0,55,89,42
36,8,0,49,86,45
37,39,4,350,328,152
38,13,0,21,52,25
39,8,0,36,79,39
40,18,1,52,84,40
41,14,0,28,95,32
42,8,2,24,60,28
43,19,0,44,82,43
44,1,0,0,0,0
45,10,0,22,50,25
46,21,3,176,246,123
47,9,1,10,13,6
48,12,1,29,72,36
49,16,6,44,134,67
50,13,1,27,74,36
51,1,0,-1,0,0
52,32,0,75,119,97
54,12,1,30,58,27
55,0,0,0,0,5
56,36,4,89,100,99
57,1,0,0,0,10
58,39,5,271,451,284
59,41,3,83,92,51
60,15,0,30,77,29
61,6,0,64,91,41
62,1,0,1,0,1
63,20,2,42,76,38
64,0,0,0,0,1
65,18,5,85,162,67
66,13,2,159,331,210
67,10,2,44,143,143
68,0,0,0,0,0
69,29,1,99,110,104
70,0,0,0,0,0
71,11,0,85,89,42
72,15,2,29,45,30
73,11,0,18,33,15
74,0,0,0,0,1
75,14,1,16,65,29
76,17,2,54,142,119
77,24,0,22,92,56
78,17,0,30,110,64
79,35,10,129,278,129
80,0,0,0,0,0
81,13,4,21,53,30
82,46,1,105,104,51
83,0,0,0,0,1
85,8,0,27,46,32
86,13,1,46,79,72
87,16,1,29,38,23
88,3,1,30,119,32
89,148,0,271,509,266
90,26,7,179,174,135
91,0,0,0,0,0
92,9,6,66,88,54
93,19,0,13,59,13
94,0,0,0,0,1
95,34,0,179,287,159
96,13,0,21,56,21
97,0,0,0,0,1
98,9,2,13,38,19
99,9,3,28,61,28
100,17,3,64,268,90
101,58,4,222,473,250
102,0,0,0,0,0
103,6,2,36,105,17
104,20,0,39,57,30
105,28,0,54,80,47
106,0,0,0,0,0
107,25,2,40,103,37
108,8,1,26,40,21
109,16,0,21,134,38
110,0,0,0,0,-1
111,-1,0,1,0,0
112,10,2,20,46,27
113,35,0,44,87,38
114,29,1,31,99,48
115,0,0,0,0,1
116,0,0,0,0,1
117,79,1,107,313,187
118,13,0,19,52,7
119,74,0,291,532,268
120,0,0,0,0,0
121,16,0,22,49,25
122,22,1,36,83,35
123,0,0,0,0,3
124,1,0,0,0,0
125,24,2,41,78,79
126,7,0,16,38,30
127,6,0,23,63,31
128,3,0,23,55,34
129,94,1,70,115,67
130,2,0,0,0,0
131,38,1,117,180,81
132,0,0,0,0,0
133,0,0,0,0,1
134,62,0,45,143,74
135,19,0,33,127,69
136,0,0,0,0,2
137,18,1,41,95,58
138,27,3,111,150,79
139,16,0,36,87,47
140,25,1,43,130,65
141,16,2,32,57,38
143,69,1,161,231,196
144,38,3,79,150,105
145,0,0,-1,0,0
146,23,4,37,98,50
147,38,5,86,187,103
148,33,1,116,158,67
149,16,0,19,50,28
150,0,0,0,0,0
151,9,3,67,106,103
152,49,1,110,182,131
153,23,0,19,55,31
154,72,0,116,295,180
155,6,0,21,66,36
157,39,0,146,53,35
158,36,0,34,142,73
159,18,1,20,62,31
160,89,1,474,731,376
161,105,0,80,112,90
162,0,0,0,0,0
