Store Number,Invoice Number,Date of Invoice ,   Total Amount   ,Out of Scope,Area of Machine,Memo,Comments
US03582G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/13/2024 9:36
US03572G,INV168084-01255A,2/21/2025,$545.71,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/13/2024 11:06
US02941G,INV168084-01255A,2/21/2025,$425.00,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/10/2024 18:42
US04512G1,INV168084-01255A,2/21/2025,"$1,240.23",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/12/2024 5:30
US04749G1,INV168084-01255A,2/21/2025,$376.73,IMPROPER HANDLING - OTHER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/6/2024 8:38
US00493G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/4/2024 17:57
US06331G,INV168084-01255A,2/21/2025,$322.08,IMPROPER HANDLING - OTHER,OTHER,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",12/10/2024 11:45
US01983G,INV168084-01255A,2/21/2025,$300.00,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/13/2024 7:31
US00081G,INV168084-01255A,2/21/2025,$300.00,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/6/2024 13:25
US05107G,INV168084-01255A,2/21/2025,$731.59,IMPROPER HANDLING - HOPPERS,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 11:28
US03188G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/6/2024 16:05
US05267G,INV168084-01255A,2/21/2025,$425.00,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/7/2024 10:25
US03771G,INV168084-01255A,2/21/2025,$425.00,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/6/2024 20:21
US05072G,INV168084-01255A,2/21/2025,$425.00,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/7/2024 6:42
US06976G,INV168084-01255A,2/21/2025,$455.82,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/8/2024 9:13
